Date,Open,High,Low,Close,Volume,Adj Close
2016-10-13,212.160004,213.589996,211.210007,213.009995,99120600,213.009995
2016-10-12,213.589996,214.320007,213.009995,213.710007,73866100,213.710007
2016-10-11,215.660004,215.740005,212.580002,213.429993,130367400,213.429993
2016-10-10,216.160004,216.699997,215.990005,216.160004,51855000,216.160004
2016-10-07,216.100006,216.300003,214.190002,215.039993,89788300,215.039993
2016-10-06,215.369995,216.039993,214.740005,215.779999,62927400,215.779999
2016-10-05,215.410004,216.130005,215.330002,215.630005,72816000,215.630005
2016-10-04,215.910004,216.169998,213.990005,214.679993,119948100,214.679993
2016-10-03,215.820007,216.039993,215.039993,215.779999,83512100,215.779999
2016-09-30,215.649994,217.119995,215.360001,216.300003,117202900,216.300003
2016-09-29,216.399994,216.869995,214.039993,214.679993,128070600,214.679993
2016-09-28,215.830002,216.820007,214.710007,216.639999,87411000,216.639999
2016-09-27,214.050003,215.679993,213.619995,215.570007,78494800,215.570007
2016-09-26,215.020004,215.229996,214.009995,214.240005,89827300,214.240005
2016-09-23,216.720001,216.880005,215.880005,215.990005,73630900,215.990005
2016-09-22,217.00,217.529999,216.710007,217.179993,76678700,217.179993
2016-09-21,214.240005,216.029999,213.440002,215.820007,110284400,215.820007
2016-09-20,214.410004,214.589996,213.380005,213.419998,69665300,213.419998
2016-09-19,214.130005,214.880005,213.029999,213.410004,80250500,213.410004
2016-09-16,213.479996,213.690002,212.570007,213.369995,155236400,213.369995
2016-09-15,212.960007,215.729996,212.75,215.279999,134427900,214.197992
2016-09-14,213.289993,214.699997,212.50,213.149994,134185500,212.078693
